id,name,cas_number,smiles,type,fragment_type,molecular_weight,density,viscosity,thermal_conductivity,specific_heat_capacity,thermal_stability,melting_point,boiling_point,freezing_point,vapor_pressure,surface_tension,log_p,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,tpsa,rotatable_bond_count,complexity,charge,heavy_atom_count,canonical_smiles,inchi,solubility_in_water,hygroscopicity,chemical_stability,radiation_stability,flammability,autoignition_temperature,ph,co2_absorption_capacity,co2_selectivity,co2_absorption_rate,h2o_absorption_capacity,h2o_selectivity,h2o_absorption_rate,contaminant_absorption_capacity,regeneration_energy_requirement,absorption_kinetics,toxicity_rating,ld50,exposure_limits,environmental_impact,biodegradability,material_compatibility,corrosion_rates,operating_temperature_range,operating_pressure_range,handling_precautions,storage_conditions,cost,availability,synthesis_complexity,regulatory_status,notes
11,1-Ethyl-3-methylpyrrolidinium,8002252,CCN1CCCC1,Cation,cation,99.1700,,,,,,,,,,,,1,0,1,3.2,1,46.1,1,7,CCN1CCCC1,"InChI=1S/C6H13N/c1-2-7-5-3-4-6-7/h2-6H2,1H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pyrrolidinium,109780,C1CCNC1,Cation,cation,71.1200,,,,,,,,,,,,1,1,1,12,0,22.8,1,5,C1CCNC1,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Morpholinium,74872,C1COCCN1,Cation,cation,87.1200,,,,,,,,,,,,1,1,2,21.3,0,34.5,1,6,C1COCCN1,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Diethylmethylammonium,3132867,[N+](CC)(CC)(C),Cation,cation,87.1600,,,,,,,,,,,,1,0,1,3.2,2,23.1,1,6,CCN(C)CC,"InChI=1S/C5H13N/c1-4-6(3)5-2/h4-5H2,1-3H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tributylmethylammonium,7715095,[N+](C)(CCC)(CCC)(CCC),Cation,cation,158.3000,,,,,,,,,,,,1,0,0,0,6,71.9,1,11,CCC[N+](C)(CCC)CCC,"InChI=1S/C10H24N/c1-5-8-11(4,9-6-2)10-7-3/h5-10H2,1-4H3/q+1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tetrabutylphosphonium,5867449,[P+](CCCC)(CCCC)(CCCC)CCCC,Cation,cation,259.4300,,,,,,,,,,,,1,0,0,0,12,116,1,17,CCCC[P+](CCCC)(CCCC)CCCC,"InChI=1S/C16H36P/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4/h5-16H2,1-4H3/q+1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1-Methylpyridinium,81375,c1ccncc1C,Cation,cation,93.1300,,,,,,,,,,,,1,0,1,12.9,0,52.1,1,7,CC1=CN=CC=C1,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1-Butylpyridinium,4389281,c1ccncc1CCCC,Cation,cation,135.2100,,,,,,,,,,,,1,0,1,12.9,3,80.8,1,10,CCCCC1=CN=CC=C1,"InChI=1S/C9H13N/c1-2-3-5-9-6-4-7-10-8-9/h4,6-8H,2-3,5H2,1H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chloride,2784,[Cl-],Anion,anion,36.4600,,,,,,,,,,,,-1,0,0,0,0,0,0,1,Cl,InChI=1S/ClH/h1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bromide,586255,[Br-],Anion,anion,80.9100,,,,,,,,,,,,-1,0,0,0,0,0,0,1,Br,InChI=1S/BrH/h1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Iodide,7915,[I-],Anion,anion,127.9124,,,,,,,,,,,,-1,0,0,0,0,0,0,1,I,InChI=1S/HI/h1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dicyanamide,8157548,N(C#N)C#N,Anion,anion,67.0500,,,,,,,,,,,,-1,1,3,59.6,0,82.6,0,5,C(#N)NC#N,InChI=1S/C2HN3/c3-1-5-2-4/h5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Trifluoromethanesulfonate,841139,C(F)(F)(F)S(=O)(=O)[O-],Anion,anion,150.0800,,,,,,,,,,,,-1,1,6,62.8,0,158,0,8,C(F)(F)(F)S(=O)(=O)O,"InChI=1S/CHF3O3S/c2-1(3,4)8(5,6)7/h(H,5,6,7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Methyl,74828,C,Alkyl,alkyl_chain,15.0345,,,,,,,,,,,,0,0,0,0,0,0,0,1,C,InChI=1S/CH4/h1H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ethyl,74840,CC,Alkyl,alkyl_chain,29.0611,,,,,,,,,,,,0,0,0,0,1,0,0,2,CC,InChI=1S/C2H6/h1-2H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Hydroxyl,3352574,O,Functional,functional_group,17.0073,,,,,,,,,,,,0,1,1,20.2,0,0,0,1,O,InChI=1S/H2O/h1H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Amino,7664417,N,Functional,functional_group,16.0226,,,,,,,,,,,,0,2,1,26.0,0,0,0,1,N,InChI=1S/H3N/h1H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Acetate,3335,CC(=O)[O-],Anion,anion,60.0500,,,,,,,,,,,,-1,1,2,37.3,0,31,0,4,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Formate,3358,C(=O)[O-],Anion,anion,46.0250,,,,,,,,,,,,-1,1,2,37.3,0,10.3,0,3,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Methanesulfonate,13327,CS(=O)(=O)[O-],Anion,anion,96.1100,,,,,,,,,,,,-1,1,3,62.8,0,92.6,0,5,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Tosylate,5850176,Cc1ccccc1S(=O)(=O)[O-],Anion,anion,172.2000,,,,,,,,,,,,-1,1,3,62.8,1,214,0,11,CC1=CC=CC=C1S(=O)(=O)O,"InChI=1S/C7H8O3S/c1-6-4-2-3-5-7(6)11(8,9)10/h2-5H,1H3,(H,8,9,10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Trifluoroacetate,607120,C(F)(F)C(=O)[O-],Anion,anion,96.0300,,,,,,,,,,,,-1,1,4,37.3,1,60.6,0,6,C(C(=O)O)(F)F,"InChI=1S/C2H2F2O2/c3-1(4)2(5)6/h1H,(H,5,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Phosphate,3311,O=P([O-])(O)O,Anion,anion,97.9950,,,,,,,,,,,,-2,3,4,77.8,0,49.8,0,5,OP(=O)(O)O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bis(trifluoromethanesulfonyl)imide,3216069,C(F)(F)(F)S(=O)(=O)N(S(=O)(=O)C(F)(F)F),Anion,anion,281.1600,,,,,,,,,,,,-1,1,11,97.1,2,374,0,15,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"InChI=1S/C2HF6NO4S2/c3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h9H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sulfonate,13651,S(=O)(=O)[O-],Anion,anion,81.0700,,,,,,,,,,,,-1,1,4,79.6,0,24.8,-1,4,OS(=O)[O-],"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hydroxide,3283,[OH-],Anion,anion,18.0150,,,,,,,,,,,,-1,1,1,1,0,0,0,1,O,InChI=1S/H2O/h1H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Carbonate,2783,[O-]C(=O)[O-],Anion,anion,62.0250,,,,,,,,,,,,-2,2,3,57.5,0,26.3,0,4,C(=O)(O)O,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Hydrogen sulfate,3359,OS(=O)(=O)[O-],Anion,anion,98.0800,,,,,,,,,,,,-1,2,4,83,0,81.3,0,5,OS(=O)(=O)O,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Methyl,2223,C,Alkyl Chain,alkyl_chain,16.0430,,,,,,,,,,,,0,0,0,0,0,0,0,1,C,InChI=1S/CH4/h1H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ethyl,595827,CC,Alkyl Chain,alkyl_chain,30.0700,,,,,,,,,,,,0,0,0,0,0,0,0,2,CC,InChI=1S/C2H6/c1-2/h1-2H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Propyl,587484,CCC,Alkyl Chain,alkyl_chain,44.1000,,,,,,,,,,,,0,0,0,0,0,0,0,3,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Butyl,587480,CCCC,Alkyl Chain,alkyl_chain,58.1200,,,,,,,,,,,,0,0,0,0,1,2,0,4,CCCC,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pentyl,115146,CCCCC,Alkyl Chain,alkyl_chain,72.1500,,,,,,,,,,,,0,0,0,0,2,7.5,0,5,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Hexyl,13448,CCCCCC,Alkyl Chain,alkyl_chain,86.1800,,,,,,,,,,,,0,0,0,0,3,12,0,6,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Heptyl,109783,CCCCCCC,Alkyl Chain,alkyl_chain,100.2000,,,,,,,,,,,,0,0,0,0,4,19.2,0,7,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Octyl,2299,CCCCCCCC,Alkyl Chain,alkyl_chain,114.2300,,,,,,,,,,,,0,0,0,0,5,25,0,8,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nonyl,115151,CCCCCCCCC,Alkyl Chain,alkyl_chain,128.2500,,,,,,,,,,,,0,0,0,0,6,33.3,0,9,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Decyl,74397,CCCCCCCCCC,Alkyl Chain,alkyl_chain,142.2800,,,,,,,,,,,,0,0,0,0,7,40,0,10,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Nitrate,14797-55-8,[NO3-],Anion,anion,62.0050,,,,,,,,,,,,-1,0,3,62.9,0,18.8,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tetrafluoroborate,14874-69-6,[BF4-],Anion,anion,86.8100,,,,,,,,,,,,-1,0,5,0,0,19.1,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Phosphate,14265-44-2,O=P([O-])([O-])[O-],Anion,anion,97.9950,,,,,,,,,,,,-3,3,4,77.8,0,49.8,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bis(fluorosulfonyl)imide,375683-28-4,FS(=O)(=O)N(S(=O)(=O)F),Anion,anion,181.1400,,,,,,,,,,,,-1,1,7,97.1,2,231,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid,71-00-1,N[C@@H](C(=O)[O-]),Anion,anion,75.0700,,,,,,,,,,,,-1,2,3,63.3,1,42.9,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hexafluorophosphate,16940-81-1,[PF6-],Anion,anion,144.9642,,,,,,,,,,,,-1,0,7,0,0,62.7,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1-Propylpyridinium,7128-55-4,CCCc1ccncc1,Cation,cation,121.1800,,,,,,,,,,,,1,0,1,12.9,2,65,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1-Butylpyridinium,1124-64-5,CCCCc1ccncc1,Cation,cation,135.2100,,,,,,,,,,,,1,0,1,12.9,3,74.8,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1-Hexylpyridinium,15733-98-5,CCCCCCc1ccncc1,Cation,cation,163.2600,,,,,,,,,,,,1,0,1,12.9,5,95.2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Thiocyanate,302-04-5,[SCN-],Anion,anion,63.1200,,,,,,,,,,,,-1,2,2,27,0,4.8,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Tricyanomethanide,1071-98-3,C(C#N)(C#N)C#N,Anion,anion,91.0700,,,,,,,,,,,,-1,0,3,71.4,0,151,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dimethylphosphate,2697-92-9,COP(=O)([O-])OC,Anion,anion,126.0500,,,,,,,,,,,,-1,1,4,55.8,2,81.7,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Hydroxyl,3352574,O,Functional,functional_group,18.0106,,,,,,,,,,,,0,1,1,20.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino,7664417,N,Functional,functional_group,16.0226,,,,,,,,,,,,0,2,1,26.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Cyano,74986,C#N,Functional,functional_group,27.0109,,,,,,,,,,,,0,0,1,23.79,0,6.754887502163469,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hydroxyl,3352574,O,Functional,functional_group,18.0106,,,,,,,,,,,,0,1,1,20.2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino,7664417,N,Functional,functional_group,16.0226,,,,,,,,,,,,0,2,1,26.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cyano,74986,C#N,Functional,functional_group,27.0109,,,,,,,,,,,,0,0,1,23.79,0,4.754887502163469,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
